node,time_s,k,bracket_s
61,14.800290984791202,1.5973593035123856,"[14.789999999999983, 14.809999999999983]"
62,14.800290863188287,1.5973192491518604,"[14.789999999999983, 14.809999999999983]"
63,14.800290743820703,1.5972797707422828,"[14.789999999999983, 14.809999999999983]"
64,14.800290627620454,1.597240855935987,"[14.789999999999983, 14.809999999999983]"
65,14.800290513981937,1.5972024927360313,"[14.789999999999983, 14.809999999999983]"
66,14.800290401559124,1.5971646694838613,"[14.789999999999983, 14.809999999999983]"
67,14.800290293488361,1.5971273748474368,"[14.789999999999983, 14.809999999999983]"
68,14.800290186054742,1.5970905978098677,"[14.789999999999983, 14.809999999999983]"
69,14.800290081420517,1.5970543276585427,"[14.789999999999983, 14.809999999999983]"
70,14.800289978663967,1.5970185539746784,"[14.789999999999983, 14.809999999999983]"
71,14.800289878795889,1.596983266623314,"[14.789999999999983, 14.809999999999983]"
72,14.800289779946239,1.596948455743691,"[14.789999999999983, 14.809999999999983]"
73,14.800289683576171,1.5969141117400707,"[14.789999999999983, 14.809999999999983]"
74,14.800289587907,1.5968802252728407,"[14.789999999999983, 14.809999999999983]"
75,14.800289496993328,1.5968467872500578,"[14.789999999999983, 14.809999999999983]"
76,14.80028940489338,1.5968137888192584,"[14.789999999999983, 14.809999999999983]"
77,14.800289315963886,1.596781221359651,"[14.789999999999983, 14.809999999999983]"
78,14.80028922846135,1.5967490764745467,"[14.789999999999983, 14.809999999999983]"
79,14.800289143830296,1.596717345984152,"[14.789999999999983, 14.809999999999983]"
80,14.800289059166772,1.5966860219185897,"[14.789999999999983, 14.809999999999983]"
81,14.800288976126387,1.5966550965112059,"[14.789999999999983, 14.809999999999983]"
82,14.800288895413928,1.5966245621921284,"[14.789999999999983, 14.809999999999983]"
83,14.800288816363707,1.5965944115820767,"[14.789999999999983, 14.809999999999983]"
84,14.800288738281328,1.5965646374863867,"[14.789999999999983, 14.809999999999983]"
85,14.800288661695877,1.596535232889289,"[14.789999999999983, 14.809999999999983]"
86,14.800288586959638,1.596506190948355,"[14.789999999999983, 14.809999999999983]"
87,14.800288513201897,1.5964775049891933,"[14.789999999999983, 14.809999999999983]"
88,14.800288440418047,1.5964491685003097,"[14.789999999999983, 14.809999999999983]"
