sample_time_s,sample_margin_m,left_time_s,left_margin_m,right_time_s,right_margin_m,refined_time_s,refined_margin_m,endpoint,success
255.0,0.15435136894768683,254.9,0.1543576778759044,255.1,0.154358118122525,254.99833576237688,0.15435136714302347,False,True
261.8,0.12523687027898714,261.7,0.1252461507608033,261.9,0.1252424523285736,261.812466596933,0.12523675477655927,False,True
265.3,0.12479464370564333,265.2,0.12480635080147934,265.4,0.1247978989454678,265.32826019911045,0.12479404593566903,False,True
278.2,0.11976820399783594,278.1,0.11978356798184389,278.3,0.11976989407897512,278.24010433696156,0.1197668319410349,False,True
281.7,0.11928038450266959,281.6,0.11928935537542013,281.8,0.11928860083415499,281.70222491960993,0.11928038025619864,False,True
293.9,0.11380395978404978,293.8,0.11380978159700567,294.0,0.11381786941629352,293.87953230287934,0.1138035465736498,False,True
297.3,0.1132667859355847,297.2,0.11327437830864187,297.4,0.11327906755779782,297.2882321402376,0.1132666483417743,False,True
308.7,0.10727979701790027,308.6,0.10729829966871976,308.8,0.10728424760703559,308.7306358162687,0.10727871951822693,False,True
312.1,0.10668346396824196,312.0,0.10669185815257679,312.2,0.10669821818497063,312.0862942945421,0.10668324660022435,False,True
317.3,0.13539747847572037,317.2,0.13540728137212651,317.4,0.13541066958796746,317.29266640628225,0.1353974166365032,False,True
322.8,0.10011158881330343,322.7,0.10012324570762812,322.9,0.1001269030393104,322.793257625354,0.10011152750534918,False,True
326.1,0.09944754965281405,326.0,0.09946015724553142,326.2,0.09946212123193113,326.0964261247117,0.09944753228233985,False,True
336.1,0.0922073732606207,336.0,0.0922128615458753,336.2,0.09223386908017753,336.0671896475012,0.09220565246770188,False,True
339.3,0.09146139606719642,339.2,0.09148348740078285,339.4,0.0914715008826276,339.31865355848237,0.09146083579194836,False,True
348.6,0.083450138875271,348.5,0.0834509503347717,348.7,0.08348764808868328,348.5521318711139,0.0834457526657624,False,True
351.8,0.08260899414845793,351.7,0.08261016113328384,351.9,0.08264645524333405,351.7530365976892,0.08260473826226714,False,True
360.2,0.07369842983727706,360.1,0.0737436416400844,360.3,0.07369951602084016,360.2476705519146,0.07369316367389325,False,True
363.4,0.07273649781353078,363.3,0.0727596956004665,363.5,0.07276004269271122,363.39968530072497,0.07273649757886858,False,True
371.2,0.06278709019532949,371.1,0.06278890000336904,371.3,0.0628423321010442,371.15319267732986,0.06278084790284905,False,True
374.3,0.06168848950118702,374.2,0.06169351737342224,374.4,0.061740946965310906,374.2587780768658,0.0616836101534767,False,True
381.3,0.050511637179985,381.2,0.050524255000893,381.4,0.05057017154635704,381.26778285028826,0.050507948118916374,False,True
384.3,0.049241200532387924,384.2,0.04929880374573284,384.4,0.04925506792752013,384.3306479248468,0.04923784070723436,False,True
390.6,0.03663567502770532,390.5,0.036671750378215184,390.7,0.03668993352084032,390.59001993349756,0.03663522513864295,False,True
393.6,0.03515120837929189,393.5,0.035210937418439,393.7,0.03518223016257829,393.6158972833217,0.03515006136478521,False,True
399.1,0.020886965569015703,399.0,0.020966040399505725,399.2,0.02092503723686892,399.11759514904725,0.020885151349972986,False,True
402.1,0.01913159853246796,402.0,0.019208627365436326,402.2,0.019172120958747124,402.1156241044275,0.019130163390534888,False,True
406.8,0.0029742538954408426,406.7,0.0031247505560826894,406.9,0.002979671128687522,406.84656709103666,0.002957308644459117,False,True
409.8,0.0008732181665271066,409.7,0.0010008063280152746,409.9,0.0009014010189184463,409.83198939931395,0.0008652345651488647,False,True
412.0,0.014576568210303953,411.9,0.01818046072048865,412.0,0.014576568210303953,412.0,0.014576568210303953,True,
