time_s,global_margin_m,collision_flag,candidate_pairs,tested_pairs,circle_rejected_pairs
124.0,1.538454617033e-01,0,,1081,23450
124.5,1.536806862008e-01,0,,1089,23442
125.0,1.536792863265e-01,0,,1091,23440
125.5,1.538419815078e-01,0,,1084,23447
126.0,1.541694916063e-01,0,,1087,23444
126.5,1.546625368794e-01,0,,1091,23440
127.0,1.542975469647e-01,0,,1085,23446
127.5,1.538398929137e-01,0,,1083,23448
128.0,1.535452423378e-01,0,,1090,23441
128.5,1.534143203374e-01,0,,1092,23439
129.0,1.534478525206e-01,0,,1085,23446
129.5,1.536465649653e-01,0,,1090,23441
130.0,1.540111841820e-01,0,,1095,23436
130.5,1.545424370735e-01,0,,1086,23445
131.0,1.552410508989e-01,0,,1092,23439
131.5,1.561077532299e-01,0,,1090,23441
132.0,1.571432719124e-01,0,,1089,23442
132.5,1.583483350251e-01,0,,1091,23440
133.0,1.597236708363e-01,0,,1092,23439
133.5,1.612700077608e-01,0,,1093,23438
134.0,1.629880743193e-01,0,,1090,23441
134.5,1.648785990898e-01,0,,1098,23433
135.0,1.669423106650e-01,0,,1100,23431
135.5,1.691799376052e-01,0,,1089,23442
136.0,1.715922083947e-01,0,,1098,23433
136.5,1.735073762290e-01,0,,1099,23432
137.0,1.733911178828e-01,0,,1097,23434
137.5,1.734389129145e-01,0,,1096,23435
138.0,1.735759151546e-01,0,,1099,23432
138.5,1.734094080774e-01,0,,1099,23432
139.0,1.714292078913e-01,0,,1095,23436
139.5,1.688170343773e-01,0,,1102,23429
140.0,1.663743355130e-01,0,,1104,23427
140.5,1.641019546300e-01,0,,1094,23437
141.0,1.620007362357e-01,0,,1100,23431
141.5,1.600715259769e-01,0,,1101,23430
142.0,1.583151705967e-01,0,,1100,23431
142.5,1.567325178963e-01,0,,1096,23435
143.0,1.553244166903e-01,0,,1103,23428
143.5,1.540917167667e-01,0,,1100,23431
144.0,1.530352688413e-01,0,,1092,23439
144.5,1.521559245148e-01,0,,1100,23431
145.0,1.514545362262e-01,0,,1104,23427
145.5,1.509319572081e-01,0,,1093,23438
146.0,1.505890414366e-01,0,,1099,23432
146.5,1.504266435878e-01,0,,1101,23430
147.0,1.504456189851e-01,0,,1097,23434
147.5,1.506468235506e-01,0,,1099,23432
148.0,1.510311137541e-01,0,,1103,23428
148.5,1.515993465610e-01,0,,1098,23433
149.0,1.510015112850e-01,0,,1094,23437
149.5,1.505336711781e-01,0,,1102,23429
150.0,1.502468102241e-01,0,,1103,23428
150.5,1.501417912992e-01,0,,1094,23437
151.0,1.502194779220e-01,0,,1100,23431
151.5,1.504807342015e-01,0,,1106,23425
152.0,1.509264247871e-01,0,,1096,23435
152.5,1.515574148130e-01,0,,1101,23430
153.0,1.523745698455e-01,0,,1101,23430
153.5,1.533787558285e-01,0,,1096,23435
154.0,1.545708390267e-01,0,,1097,23434
154.5,1.559516859677e-01,0,,1102,23429
155.0,1.575221633854e-01,0,,1102,23429
155.5,1.592831381593e-01,0,,1096,23435
156.0,1.612354772551e-01,0,,1107,23424
156.5,1.633800476618e-01,0,,1109,23422
157.0,1.657177163302e-01,0,,1098,23433
157.5,1.682493501082e-01,0,,1107,23424
158.0,1.709146899004e-01,0,,1109,23422
158.5,1.708480107204e-01,0,,1102,23429
159.0,1.707576980489e-01,0,,1103,23428
159.5,1.708496048669e-01,0,,1108,23423
160.0,1.709123415241e-01,0,,1107,23424
160.5,1.682904468102e-01,0,,1103,23428
161.0,1.655176617647e-01,0,,1110,23421
161.5,1.629333482304e-01,0,,1112,23419
162.0,1.605385153558e-01,0,,1103,23428
162.5,1.583341738179e-01,0,,1107,23424
163.0,1.563213357722e-01,0,,1110,23421
163.5,1.545010147921e-01,0,,1104,23427
164.0,1.528742258145e-01,0,,1105,23426
164.5,1.514419850834e-01,0,,1114,23417
165.0,1.502053100893e-01,0,,1109,23422
165.5,1.491652195075e-01,0,,1103,23428
166.0,1.483227331401e-01,0,,1114,23417
166.5,1.476788718504e-01,0,,1114,23417
167.0,1.472346574986e-01,0,,1105,23426
167.5,1.469911128773e-01,0,,1113,23418
168.0,1.469492616440e-01,0,,1113,23418
168.5,1.471101282521e-01,0,,1110,23421
169.0,1.474747378820e-01,0,,1111,23420
169.5,1.480441163686e-01,0,,1118,23413
170.0,1.477369987652e-01,0,,1111,23420
170.5,1.471752044931e-01,0,,1108,23423
171.0,1.468146863883e-01,0,,1118,23413
171.5,1.466564774359e-01,0,,1115,23416
172.0,1.467016114699e-01,0,,1111,23420
172.5,1.469511231031e-01,0,,1117,23414
173.0,1.474060476543e-01,0,,1118,23413
173.5,1.480674210772e-01,0,,1113,23418
174.0,1.489362798830e-01,0,,1116,23415
174.5,1.500136610664e-01,0,,1117,23414
175.0,1.513006020274e-01,0,,1111,23420
