time_s,global_margin_m,collision_flag,witness_pair,minimum_speed_denominator,max_handle_speed_m_per_s
-56,0.0264296729032,0,1-23,1.6304167875,1
-55,0.0310260003842,0,1-23,1.63031841661,1
-54,0.0368529174197,0,1-23,1.63021905268,1
-53,0.0439264484086,0,1-23,1.63011868058,1
-52,0.0461379073181,0,5-27,1.63001728489,1
-51,0.046032092292,0,6-28,1.62991484989,1
-50,0.040812571242,0,1-20,1.62981135951,1
-49,0.0332737684083,0,1-20,1.62970679736,1
-48,0.0269596942036,0,1-20,1.62960114672,1
-47,0.0218900847008,0,1-20,1.62949439049,1
-46,0.0180847703133,0,1-20,1.62938651125,1
-45,0.0155636665703,0,1-20,1.62927749116,1
-44,0.0143467642722,0,1-20,1.62916731206,1
-43,0.0144541189961,0,1-20,1.62905595536,1
-42,0.0159058399206,0,1-20,1.62894340208,1
-41,0.0142845466259,0,1-22,1.62882963284,1
-40,0.0138038635467,0,1-22,1.62871462784,1
-39,0.0146683967248,0,1-22,1.62859836683,1
-38,0.0168985042778,0,1-22,1.62848082912,1
-37,0.0205145794079,0,1-22,1.62836199358,1
-36,0.0255370370876,0,1-22,1.62824183861,1
-35,0.0319862999229,0,1-22,1.62812034209,1
-34,0.0398827831585,0,1-22,1.62799748146,1
-33,0.0411246355827,0,5-26,1.62787323361,1
-32,0.0412005524189,0,6-27,1.62774757492,1
-31,0.0324463971495,0,1-19,1.62762048123,1
-30,0.0246700367975,0,1-19,1.62749192782,1
-29,0.0183242552692,0,1-19,1.62736188941,1
-28,0.0134345332216,0,1-19,1.62723034012,1
-27,0.0100264831668,0,1-19,1.62709725348,1
-26,0.0081258346336,0,1-19,1.62696260238,1
-25,0.00775841822839,0,1-19,1.62682635909,1
-24,0.00895014853567,0,1-19,1.6266884952,1
-23,0.00818620866945,0,1-21,1.62654898163,1
-22,0.00723302780132,0,1-21,1.62640778861,1
-21,0.00784077373836,0,1-21,1.62626488564,1
-20,0.0100356971,0,1-21,1.62612024146,1
-19,0.0138441025418,0,1-21,1.62597382408,1
-18,0.0192923279205,0,1-21,1.6258256007,1
-17,0.0264067220309,0,1-21,1.6256755377,1
-16,0.0352136208388,0,1-21,1.62552360063,1
-15,0.0356746743707,0,5-25,1.62536975418,1
-14,0.0331039647149,0,1-18,1.62521396215,1
-13,0.0234350217084,0,1-18,1.62505618739,1
-12,0.0154186074594,0,1-18,1.62489639183,1
-11,0.00908787454782,0,1-18,1.62473453642,1
-10,0.00447618532695,0,1-18,1.62457058107,1
-9,0.00161708929585,0,1-18,1.62440448467,1
-8,0.000544298565073,0,1-18,1.62423620502,1
-7,0.00129166130252,0,1-18,1.6240656988,1
-6,0.00180079656643,0,1-20,1.62389292155,1
-5,0.000154520459053,0,1-20,1.6237178276,1
-4,0.000331550731817,0,1-20,1.62354037006,1
-3,0.00236619779684,0,1-20,1.62336050076,1
-2,0.00629285894481,0,1-20,1.62317817023,1
-1,0.012145985107,0,1-20,1.62299332762,1
0,0.0199600450655,0,1-20,1.62280592067,1
1,0.0261202876463,0,1-20,1.6226189627,1
2,0.028408252066,0,1-20,1.62243289082,1
3,0.0300375501204,0,5-24,1.62223787883,1
4,0.0297066704833,0,6-25,1.61038446236,1
5,0.0301844051352,0,7-26,1.58639943137,1
6,0.0297660920688,0,7-26,1.58639943137,1
7,0.0298503056235,0,8-27,1.58639943137,1
8,0.0300215588073,0,8-27,1.58639943137,1
9,0.0297085138478,0,9-28,1.58639943137,1
10,0.0301304479694,0,10-29,1.58639943137,1.08472928196
11,0.0297528447626,0,10-29,1.58639943137,1
12,0.0302667248735,0,11-30,1.58639943137,1
13,-0.0623872161819,1,1-15,1.15862201906,1
14,-0.276963306844,1,1-16,0.864595170226,1.00615185649
15,-0.287279913451,1,1-18,1.37809746515,1.53625562753
16,-0.21786922098,1,1-19,1.37809746515,1.24398523353
17,-0.245058730757,1,2-19,1.37809746515,1.02578386162
18,-0.222640385565,1,1-22,1.37809746515,1.05745749039
19,-0.241817867665,1,3-20,1.37809746515,1.07986098927
20,-0.249531463638,1,4-20,1.37809746515,1.021433712
21,-0.178356944692,1,4-22,1.37809746515,1.11881391749
22,-0.24839623939,1,5-22,1.37809746515,1.03171882196
23,-0.230519509931,1,6-22,1.37809746515,1.0551660652
24,-0.23734119477,1,6-23,1.37809746515,1.08174115328
25,-0.244594871547,1,7-23,1.37809746515,1.01908673343
26,-0.202741658104,1,1-32,1.37809746515,1.11725509083
27,-0.251281402478,1,8-25,1.37809746515,1.03752701896
28,-0.244978257987,1,1-15,1.37809746515,1.05273774441
29,-0.343306708491,1,1-16,1.37809746515,1.08339087649
30,-0.371194951134,1,1-17,1.37809746515,1.0166889954
31,-0.343347453974,1,1-18,1.37809746515,1.11476343379
32,-0.316899833767,1,1-21,1.37809746515,1.04316613817
33,-0.343715813467,1,1-22,1.37809746515,1.05018238638
34,-0.346536237191,1,1-23,1.37809746515,1.08479016908
35,-0.345583516802,1,1-23,1.37809746515,1.01425526283
36,-0.340355377611,1,1-24,1.37809746515,1.11133296228
37,-0.318322197686,1,1-25,1.37809746515,1.04859699378
38,-0.327991376749,1,1-28,1.37809746515,1.04751062945
39,-0.340766864102,1,1-29,1.37809746515,1.0859223334
40,-0.336914924317,1,1-30,1.37809746515,1.01180030801
41,-0.341048805752,1,1-30,1.37809746515,1.10697305849
42,-0.330445912474,1,1-31,1.37809746515,1.05378357361
43,-0.306052267178,1,1-34,1.37809746515,1.04473383663
44,-0.328398498825,1,1-35,1.37809746515,1.09308661463
45,-0.337617586564,1,1-36,1.37809746515,1.00933892292
46,-0.334876331105,1,1-36,1.37809746515,1.10170745852
47,-0.334773595073,1,1-37,1.37809746515,1.05869309174
48,-0.311695556357,1,1-38,1.37809746515,1.04186403112
49,-0.310335341047,1,1-41,1.37809746515,1.10152838224
50,-0.331543978742,1,1-42,1.37809746515,1.00688592774
51,-0.330384431387,1,1-43,1.37809746515,1.09557304753
52,-0.332248550403,1,1-43,1.37809746515,1.06329604248
53,-0.322319345826,1,1-44,1.37809746515,1.03891382643
54,-0.298742328133,1,1-45,1.37809746515,1.10852188386
55,-0.319495093436,1,1-48,1.37809746515,1.004456178
56,-0.329420065609,1,1-49,1.37809746515,1.08861850124
57,-0.323711671381,1,1-49,1.37809746515,1.06756625031
58,-0.326389719392,1,1-50,1.37809746515,1.03589635401
59,-0.311675259003,1,1-51,1.37809746515,1.11401205386
60,-0.302180976348,1,1-54,1.37809746515,1.00206457257
61,-0.323033872492,1,1-55,1.37809746515,1.08090281625
62,-0.324393648752,1,1-56,1.37809746515,1.07148091044
63,-0.32462288631,1,1-56,1.37809746515,1.03282519111
64,-0.318590684984,1,1-57,1.37809746515,1.11796533779
65,-0.293153238505,1,1-58,1.37809746515,1.00846322608
66,-0.311854134324,1,1-61,1.37809746515,1.072493774
67,-0.321382036548,1,1-62,1.37809746515,1.07502061577
68,-0.317656123499,1,1-62,1.37809746515,1.02971429091
69,-0.3201714269,1,1-63,1.37809746515,1.12036955556
70,-0.30531147141,1,1-64,1.37809746515,1.01687251064
71,-0.296435871316,1,1-67,1.37809746515,1.06346638316
72,-0.313591613975,1,1-68,1.37809746515,1.07816936635
73,-0.316312422339,1,1-69,1.37809746515,1.02657791663
74,-0.317023343836,1,1-69,1.37809746515,1.12123335454
75,-0.311865733514,1,1-70,1.37809746515,1.02493214794
76,-0.284948268152,1,1-71,1.37809746515,1.05981784606
77,-0.301601673514,1,1-74,1.37809746515,1.0809145584
78,-0.314922689377,1,1-75,1.37809746515,1.0234305812
79,-0.309683475549,1,1-75,1.37809746515,1.12058526593
80,-0.313405024888,1,1-76,1.37809746515,1.03260920961
81,-0.296485799173,1,1-77,1.37809746515,1.05672573858
82,-0.285938959848,1,1-80,1.37809746515,1.0832469507
83,-0.30921728823,1,1-81,1.37809746515,1.02028699352
84,-0.310110294887,1,1-82,1.37809746515,1.11847239534
85,-0.310462104165,1,1-82,1.37809746515,1.03987360643
86,-0.303375918571,1,1-83,1.37809746515,1.0535154107
87,-0.283712051177,1,1-84,1.37809746515,1.08516060691
88,-0.299632304947,1,1-87,1.37809746515,1.01716201228
89,-0.30855556932,1,1-88,1.37809746515,1.1149587947
90,-0.303519539665,1,1-88,1.37809746515,1.04669826316
91,-0.306063789841,1,1-89,1.37809746515,1.05020196253
92,-0.293290474727,1,1-90,1.37809746515,1.08665281333
93,-0.286560887202,1,1-93,1.37809746515,1.01407060824
94,-0.30350022799,1,1-94,1.37809746515,1.1101235748
95,-0.303964604827,1,1-95,1.37809746515,1.05305927706
96,-0.304950166277,1,1-95,1.37809746515,1.04680104862
97,-0.29879130346,1,1-96,1.37809746515,1.09154654025
98,-0.271579666367,1,1-97,1.37809746515,1.01102783532
99,-0.29530600297,1,1-100,1.37809746515,1.10405882714
100,-0.30269654581,1,1-101,1.37809746515,1.05893605472
